"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date","Altitude","Spectrogram_small","Spectrogram_med","Spectrogram_large","Spectrogram_full","Length","Uploaded","Other_species","Remarks","Bird_seen","Playback_used","Other_species1","Other_species2","Other_species3"
"154072","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154072/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/154072","A","7:05","2010-05-28","","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154072-small.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154072-med.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154072-large.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154072-full.png","3:09","2013-11-11","","Recording equipment: Marantz Pmd 660+sennheiser ME67. Comments: individuo-VA; lek-CCL. en percha ded VA, probablemente VA. Luego se observó bien VA y grabó en la misma percha. En percha 6VA.. To access original .WAV file contact marceloa27(at)gmail.com","yes","no",NA,NA,NA
"107762","Phaethornis","longirostris","","Long-billed Hermit","Klemens Steiof","Panama","Pipeline Road, Panama","9.1332","-79.7195","song","//www.xeno-canto.org/107762/download","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/107762","A","?","2012-02-19","70","//www.xeno-canto.org/sounds/uploaded/EMRFEGZSFE/ffts/XC107762-small.png","//www.xeno-canto.org/sounds/uploaded/EMRFEGZSFE/ffts/XC107762-med.png","//www.xeno-canto.org/sounds/uploaded/EMRFEGZSFE/ffts/XC107762-large.png","//www.xeno-canto.org/sounds/uploaded/EMRFEGZSFE/ffts/XC107762-full.png","0:24","2012-08-20","","","unknown","unknown",NA,NA,NA
"31906","Phaethornis","longirostris","","Long-billed Hermit","Andrew Spencer","Panama","Pipeline Road, Colon","9.1667","-79.7667","lekking","//www.xeno-canto.org/31906/download","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/31906","A","09:00","2009-03-19","50","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC31906-small.png","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC31906-med.png","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC31906-large.png","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC31906-full.png","0:05","2009-04-02","","","unknown","unknown",NA,NA,NA
"490055","Phaethornis","longirostris","","Long-billed Hermit","GABRIEL LEITE","Costa Rica","Puntarenas","8.5194","-83.4071","song","//www.xeno-canto.org/490055/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/490055","B","06:30","2019-07-26","260","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490055-small.png","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490055-med.png","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490055-large.png","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490055-full.png","0:32","2019-08-02","","","yes","no",NA,NA,NA
"490054","Phaethornis","longirostris","","Long-billed Hermit","GABRIEL LEITE","Costa Rica","Puntarenas","8.5194","-83.4071","song","//www.xeno-canto.org/490054/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/490054","B","06:30","2019-07-26","260","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490054-small.png","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490054-med.png","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490054-large.png","//www.xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC490054-full.png","0:36","2019-08-02","","","yes","no",NA,NA,NA
"411247","Phaethornis","longirostris","","Long-billed Hermit","Oliver Komar","Honduras","Rio Santiago Nature Resort, Masica, Departamento de Atlántida","15.5909","-87.0633","song","//www.xeno-canto.org/411247/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/411247","B","08:30","2018-03-08","120","//www.xeno-canto.org/sounds/uploaded/XNQLEKWJLU/ffts/XC411247-small.png","//www.xeno-canto.org/sounds/uploaded/XNQLEKWJLU/ffts/XC411247-med.png","//www.xeno-canto.org/sounds/uploaded/XNQLEKWJLU/ffts/XC411247-large.png","//www.xeno-canto.org/sounds/uploaded/XNQLEKWJLU/ffts/XC411247-full.png","0:20","2018-04-18",NA,"Recorded at a lek. Photo of singing bird submitted to eBird.org.","yes","no","Claravis pretiosa","Pheugopedius maculipectus",NA
"402754","Phaethornis","longirostris","","Long-billed Hermit","Marilyn Castillo","Mexico","Marqués de Comillas, Chiapas","16.1696","-90.9035","flight call","//www.xeno-canto.org/402754/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/402754","B","07:00","2016-01-18","180","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402754-small.png","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402754-med.png","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402754-large.png","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402754-full.png","0:05","2018-02-14","","","yes","no",NA,NA,NA
"361039","Phaethornis","longirostris","","Long-billed Hermit","Kent Livezey","Panama","Pipeline Road, Soberania NP","9.1332","-79.7195","call","//www.xeno-canto.org/361039/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/361039","B","10:17","2017-03-23","70","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC361039-small.png","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC361039-med.png","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC361039-large.png","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC361039-full.png","0:04","2017-03-24","","Hermit zipped past, calling (0:00, 0:02, 0:04) as it went. This is a typical detection for this species in this area.","yes","no",NA,NA,NA
"308485","Phaethornis","longirostris","","Long-billed Hermit","Orlando Jarquín G.","Nicaragua","Reserva El Jaguar, Jinotega","13.237","-86.0546","song","//www.xeno-canto.org/308485/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/308485","B","07:30","2016-02-24","1300","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308485-small.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308485-med.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308485-large.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308485-full.png","0:19","2016-03-25",NA,"","yes","no","Psarocolius montezuma","Henicorhina leucosticta","Dives dives"
"308316","Phaethornis","longirostris","","Long-billed Hermit","Orlando Jarquín G.","Nicaragua","Estación Biológica UCA. Jinotega","13.166","-85.8629","song","//www.xeno-canto.org/308316/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/308316","B","05:30","2015-11-23","1200","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308316-small.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308316-med.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308316-large.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308316-full.png","0:17","2016-03-24","","Santa Maura","yes","no",NA,NA,NA
"308315","Phaethornis","longirostris","","Long-billed Hermit","Orlando Jarquín G.","Nicaragua","Estación Biológica UCA. Jinotega","13.166","-85.8629","flight call","//www.xeno-canto.org/308315/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/308315","B","11:00","2015-11-22","1200","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308315-small.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308315-med.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308315-large.png","//www.xeno-canto.org/sounds/uploaded/FJVXXGLFTR/ffts/XC308315-full.png","0:07","2016-03-24","","Santa Maura","yes","no",NA,NA,NA
"302403","Phaethornis","longirostris","","Long-billed Hermit","Alfonso Auerbach","Honduras","Río Santiago Nature Resort, Masica, Atlántida","15.5958","-87.0617","call","//www.xeno-canto.org/302403/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/302403","B","13:00","2016-02-03","160","//www.xeno-canto.org/sounds/uploaded/PWYNTPIIKC/ffts/XC302403-small.png","//www.xeno-canto.org/sounds/uploaded/PWYNTPIIKC/ffts/XC302403-med.png","//www.xeno-canto.org/sounds/uploaded/PWYNTPIIKC/ffts/XC302403-large.png","//www.xeno-canto.org/sounds/uploaded/PWYNTPIIKC/ffts/XC302403-full.png","0:07","2016-02-06","","","yes","no",NA,NA,NA
"264458","Phaethornis","longirostris","baroni","Long-billed Hermit","Paul Coopmans","Ecuador","Loja: below Guaiquichuma","-3.8","-79.567","song at lek","//www.xeno-canto.org/264458/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/264458","B","?","1997-02-00","750","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC264458-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC264458-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC264458-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC264458-full.png","0:15","2015-07-30","Saltator striatipectus","<a href=""http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm"">Moore et al. 2013: Bird Sounds of Ecuador DVD</a>.","unknown","no",NA,NA,NA
"238796","Phaethornis","longirostris","baroni","Long-billed Hermit","Niels Krabbe","Ecuador","Manabí: Río Ayampe","-1.673","-80.786","calls","//www.xeno-canto.org/238796/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/238796","B","6:52","1991-12-31","50","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238796-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238796-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238796-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238796-full.png","0:03","2015-05-01","","Dry forest. Reference: XLIIB 30-31 (Phabar3). Krabbe & Nilsson (2003) (ISBN 90-75838-06-9).","yes","no",NA,NA,NA
"227581","Phaethornis","longirostris","","Long-billed Hermit","Peter Boesman","Mexico","Bonampak, Chiapas","16.7","-91.0833333333","song","//www.xeno-canto.org/227581/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/227581","B","07:00","2003-04-10","","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227581-small.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227581-med.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227581-large.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227581-full.png","0:11","2015-03-23","","ID certainty 100%. (Archiv. tape 163 side B track 14 seq. C)","unknown","unknown",NA,NA,NA
"227580","Phaethornis","longirostris","","Long-billed Hermit","Peter Boesman","Mexico","Bonampak, Chiapas","16.7","-91.0833333333","call","//www.xeno-canto.org/227580/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/227580","B","07:30","2003-04-09","","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227580-small.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227580-med.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227580-large.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227580-full.png","0:11","2015-03-23","","ID certainty 100%. (Archiv. tape 162 side B track 42 seq. B)","unknown","unknown",NA,NA,NA
"227579","Phaethornis","longirostris","","Long-billed Hermit","Peter Boesman","Mexico","Bonampak, Chiapas","16.7","-91.0833333333","song","//www.xeno-canto.org/227579/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/227579","B","07:30","2003-04-09","","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227579-small.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227579-med.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227579-large.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227579-full.png","0:20","2015-03-23","","ID certainty 100%. (Archiv. tape 162 side B track 42 seq. A)","unknown","unknown",NA,NA,NA
"227578","Phaethornis","longirostris","","Long-billed Hermit","Peter Boesman","Mexico","Bonampak, Chiapas","16.7","-91.0833333333","song","//www.xeno-canto.org/227578/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/227578","B","07:15","2003-04-09","","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227578-small.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227578-med.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227578-large.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227578-full.png","0:18","2015-03-23","","ID certainty 100%. (Archiv. tape 162 side B track 39 seq. A)","unknown","unknown",NA,NA,NA
"227577","Phaethornis","longirostris","","Long-billed Hermit","Peter Boesman","Costa Rica","La Selva CR, Heredia","10.3333333333","-84","song","//www.xeno-canto.org/227577/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/227577","B","08:00","1991-12-25","0 - 200","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227577-small.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227577-med.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227577-large.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227577-full.png","0:21","2015-03-23","","ID certainty 100%. (Archiv. tape 21 side A track 53 seq. A)","unknown","unknown",NA,NA,NA
"166002","Phaethornis","longirostris","","Long-billed Hermit","Mike Nelson","Costa Rica","Carara National Park, Puntarenas Province","9.7751","-84.6167","song","//www.xeno-canto.org/166002/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/166002","B","09:30","2014-01-19","20","//www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC166002-small.png","//www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC166002-med.png","//www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC166002-large.png","//www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC166002-full.png","2:16","2014-02-05","","","yes","no",NA,NA,NA
"164769","Phaethornis","longirostris","","Long-billed Hermit","James Bradley","Panama","Torti, San Francisco Nature Reserve, Panama ","8.939","-78.465","call","//www.xeno-canto.org/164769/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/164769","B","10:00","2008-03-09","320","//www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/XC164769-small.png","//www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/XC164769-med.png","//www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/XC164769-large.png","//www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/XC164769-full.png","0:44","2014-01-16","","Calling from low down in thick roadside understory.","yes","no",NA,NA,NA
"154164","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154164/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/154164","B","8:05","2010-07-13","","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154164-small.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154164-med.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154164-large.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154164-full.png","2:32","2013-11-11","","Recording equipment: Marantz Pmd 660+sennheiser ME67. Comments: Individuo 3. Lek LOC 2010. A 1,5m de altura, sobre ramas de arbol caido. Alternancia de cantos con Individuo 1. Dia nublado. Individuo al lado del claro. Grabado a 5 m.Coordenadas no exactas.. To access original .WAV file contact marceloa27(at)gmail.com","yes","no",NA,NA,NA
"154163","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154163/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/154163","B","7:44","2010-07-13","","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154163-small.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154163-med.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154163-large.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154163-full.png","3:18","2013-11-11","","Recording equipment: Marantz Pmd 660+sennheiser ME67. Comments: Individuo 2 Lek LOC 2010. Observado. Perchado a 2,5m. Interrrumpio tanda de canto para perseguir a otro Phaethornis. Alternancia de cantos probablemente con individuo 1. Ver mapa. Coordenadas no exactas.. To access original .WAV file contact marceloa27(at)gmail.com","yes","no",NA,NA,NA
"154162","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154162/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/154162","B","7:37","2010-07-13","","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154162-small.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154162-med.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154162-large.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154162-full.png","7:01","2013-11-11","","Recording equipment: Marantz Pmd 660+sennheiser ME67. Comments: Individuo 1 Lek LOC 2010, cercano a ceibo en inicio de parcela TEAM, bastante acitvidad en Lek despues del desayuno. Sotobosque medianamente denso con arboles caidos. Claro hacia el centro del lek. 3 interacciones en 1 hora, probablemente juveniles consolidando territorio. Interaccion agresiva al final de la grabacion. ver mapa. Alternancia de cantos. Coordenadas no exactas.. To access original .WAV file contact marceloa27(at)gmail.com","yes","no",NA,NA,NA
