"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date","Altitude","Spectrogram_small","Spectrogram_med","Spectrogram_large","Spectrogram_full","Length","Uploaded","Other_species","Remarks","Bird_seen","Playback_used","Other_species1","Other_species2","Other_species3","Other_species4","Other_species5","Other_species6","Other_species7","Other_species8"
"261691","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Awacachi Biological Corridor, Río Tululví area","1.033","-78.603","perch calls, take-off calls","//www.xeno-canto.org/261691/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261691","A","?","2009-09-00","320","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261691-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261691-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261691-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261691-full.png","0:15","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261690","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Playa de Oro, foothill zone ca. 7 km E of village, Río Santiago","0.867","-78.733","""subsong""","//www.xeno-canto.org/261690/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261690","A","?","1997-06-03","60","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261690-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261690-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261690-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261690-full.png","0:34","2015-07-19","Cercomacroides tyrannina","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261689","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Trinidad, Rio Cayapas","0.85","-78.95","chase calls at lek","//www.xeno-canto.org/261689/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261689","A","?","2005-11-00","40","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261689-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261689-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261689-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261689-full.png","0:12","2015-07-19","Patagioenas subvinacea","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261688","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Awacachi Biological Corridor, Río Bogotá area","1.064","-78.681","agitated song, calls, and wing beats at a lek","//www.xeno-canto.org/261688/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261688","A","?","2009-09-00","100","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261688-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261688-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261688-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261688-full.png","0:19","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261687","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Agua Blanca, Río Chimbagal","0.733","-78.95","agitated flight calls at lek","//www.xeno-canto.org/261687/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261687","A","?","2001-05-23","90","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261687-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261687-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261687-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261687-full.png","0:12","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Looped once","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261686","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Tsejpi, Río Zapallo","0.8","-78.833","song, calls, wing noise","//www.xeno-canto.org/261686/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261686","A","?","1998-07-04","150","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261686-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261686-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261686-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261686-full.png","0:29","2015-07-19",NA,"<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no","Amazona farinosa","Tachyphonus delatrii",NA,NA,NA,NA,NA,NA
"261685","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Playa de Oro, foothill zone ca. 7 km E of village, Río Santiago","0.867","-78.733","song at lek","//www.xeno-canto.org/261685/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261685","A","?","1997-02-24","150","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261685-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261685-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261685-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261685-full.png","0:20","2015-07-19","Amazona farinosa","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"251332","Phaethornis","yaruqui","","White-whiskered Hermit","Niels Krabbe","Ecuador","El Oro: Reserva Buenaventura 9 km WNW Piñas","-3.654","-79.753","song","//www.xeno-canto.org/251332/download","//creativecommons.org/licenses/by-sa/4.0/","//www.xeno-canto.org/251332","A","09:30","2008-01-18","500","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC251332-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC251332-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC251332-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC251332-full.png","0:47","2015-06-07","Cyphorhinus phaeocephalus","Humid secondary forest","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"241487","Phaethornis","yaruqui","","White-whiskered Hermit","Oscar Humberto Marín Gómez","Colombia","Reserva Natural río Ñambí, Vereda el Barro, Altaquer, Barbacoas, Nariño.","1.3001","-78.0834","song, lek","//www.xeno-canto.org/241487/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/241487","A","08:41","2014-01-28","1300","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241487-small.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241487-med.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241487-large.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241487-full.png","3:03","2015-05-13","","Another bird in lek, perched near to the ground and Heliconia patches Distance: 20 m to mic. ID accurancy: 100%. Habitat: Low montane rain forest. Code: NAMBI _1521.  TASCAM DR 100 MKII with Sennheiser ME 66.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"241485","Phaethornis","yaruqui","","White-whiskered Hermit","Oscar Humberto Marín Gómez","Colombia","Reserva Natural río Ñambí, Vereda el Barro, Altaquer, Barbacoas, Nariño.","1.3001","-78.0834","song, lek","//www.xeno-canto.org/241485/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/241485","A","08:40","2014-01-28","1300","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241485-small.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241485-med.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241485-large.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241485-full.png","3:22","2015-05-13","","One bird in lek, perched near to the ground. Distance: 7 m to mic. ID accurancy: 100%. Habitat: Low montane rain forest. Code: NAMBI _1519.  TASCAM DR 100 MKII with Sennheiser ME 66.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"241344","Phaethornis","yaruqui","","White-whiskered Hermit","Oscar Humberto Marín Gómez","Colombia","Reserva Natural río Ñambí, Vereda el Barro, Altaquer, Barbacoas, Nariño.","1.3001","-78.0834","song, lek","//www.xeno-canto.org/241344/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/241344","A","08:27","2014-01-27","1150","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241344-small.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241344-med.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241344-large.png","//www.xeno-canto.org/sounds/uploaded/CSUHASNRSU/ffts/XC241344-full.png","2:29","2015-05-12","Grallaria flavotincta","Onebird in lek, perched near to the ground, moving the tail and raising the bill showing the red jaw. Distance: 4 m to mic. ID accurancy: 100%. Habitat: Low montane rain forest. Code: NAMBI _1470.  TASCAM DR 100 MKII with Sennheiser ME 66.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"238815","Phaethornis","yaruqui","","White-whiskered Hermit","Niels Krabbe","Ecuador","El Oro: Daucay","-3.491","-79.748","Call, flight call","//www.xeno-canto.org/238815/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/238815","A","6:21","1993-04-18","600","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238815-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238815-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238815-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238815-full.png","1:15","2015-05-01","","Perched, at end of cut in flight. Mosaic of humid-wet pasture and selectively logged forest. Reference: LXVIIIB 107-123 (Phayar4). Krabbe & Nilsson (2003) (ISBN 90-75838-06-9).","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"238813","Phaethornis","yaruqui","","White-whiskered Hermit","Niels Krabbe","Ecuador","Pichincha: Maquipucuna at 1350 m","0.117","-78.629","call from perch","//www.xeno-canto.org/238813/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/238813","A","9:10","1993-03-30","1350","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238813-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238813-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238813-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238813-full.png","0:08","2015-05-01","","Humid secondary forest and scrub. Reference: LXVIIIA 45-47 (Phayar2). Krabbe & Nilsson (2003) (ISBN 90-75838-06-9).","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"238812","Phaethornis","yaruqui","","White-whiskered Hermit","Niels Krabbe","Ecuador","Los Ríos: 'Río Palenque Science Center'","-0.593","-79.363","song","//www.xeno-canto.org/238812/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/238812","A","7:30","1992-09-18","300","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238812-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238812-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238812-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238812-full.png","0:37","2015-05-01","","Humid lowland rainforest. Reference: LVIIB 317-320, -327 (Phayar1). Krabbe & Nilsson (2003) (ISBN 90-75838-06-9).","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"214317","Phaethornis","yaruqui","","White-whiskered Hermit","Jerome Fischer","Ecuador","Un Poco del Choco, Pichincha","0.0736","-78.7685","flight call","//www.xeno-canto.org/214317/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/214317","A","09:00","2015-02-17","1000","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC214317-small.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC214317-med.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC214317-large.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC214317-full.png","0:04","2015-02-21","","","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"140760","Phaethornis","yaruqui","","White-whiskered Hermit","Nick Athanas","Colombia","Ecolodge El Almejal","6.1133","-77.4336","song","//www.xeno-canto.org/140760/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/140760","A","08:04","2013-06-13","120","//www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/XC140760-small.png","//www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/XC140760-med.png","//www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/XC140760-large.png","//www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/XC140760-full.png","1:28","2013-06-30","Tinamus major","Recorded at a lek, at least three birds were present.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"85528","Phaethornis","yaruqui","","White-whiskered Hermit","Andrew Spencer","Ecuador","Trail to the Rio Mira 4 km. west of Alto Tambo, Esmeraldas","0.9562","-78.5484","lekking","//www.xeno-canto.org/85528/download","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/85528","A","06:30","2011-07-30","680","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC85528-small.png","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC85528-med.png","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC85528-large.png","//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC85528-full.png","0:21","2011-08-04","","natural vocalization","unknown","unknown",NA,NA,NA,NA,NA,NA,NA,NA
"499950","Phaethornis","yaruqui","","White-whiskered Hermit","Niels Krabbe","Ecuador","Pichincha: Río Guaycuyacu","0.217","-78.89","call from perch","//www.xeno-canto.org/499950/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/499950","B","09:30","2019-09-27","550","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499950-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499950-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499950-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499950-full.png","0:13","2019-09-29","","","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"499944","Phaethornis","yaruqui","","White-whiskered Hermit","Niels Krabbe","Ecuador","Pichincha: Río Guaycuyacu","0.217","-78.89","call","//www.xeno-canto.org/499944/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/499944","B","10:30","2019-09-25","550","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499944-small.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499944-med.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499944-large.png","//www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC499944-full.png","0:10","2019-09-29","","From perch","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"277164","Phaethornis","yaruqui","","White-whiskered Hermit","Niels Poul Dreyer","Ecuador","Esmeraldas: Mache-Chindul Hills: Estación Biológica Jatun Sacha Bilsa","0.346","-79.709","call, song","//www.xeno-canto.org/277164/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/277164","B","10:00","1999-10-20","550","//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC277164-small.png","//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC277164-med.png","//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC277164-large.png","//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC277164-full.png","0:18","2015-08-31","","","yes","unknown",NA,NA,NA,NA,NA,NA,NA,NA
"276363","Phaethornis","yaruqui","","White-whiskered Hermit","Jonas Nilsson","Ecuador","Esmeraldas: Mache-Chindul Hills: Estación Biológica Jatun Sacha Bilsa","0.346","-79.709","song","//www.xeno-canto.org/276363/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/276363","B","15:45","1997-02-10","600","//www.xeno-canto.org/sounds/uploaded/GTTLRDCZWR/ffts/XC276363-small.png","//www.xeno-canto.org/sounds/uploaded/GTTLRDCZWR/ffts/XC276363-med.png","//www.xeno-canto.org/sounds/uploaded/GTTLRDCZWR/ffts/XC276363-large.png","//www.xeno-canto.org/sounds/uploaded/GTTLRDCZWR/ffts/XC276363-full.png","0:42","2015-08-28","","Humid forest. Reference: JN1. Krabbe & Nilsson (2003) (ISBN 90-75838-06-9).","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
